ID,Label,Code
559,EN_DistributionEntropy_hist_auto_01,"EN_DistributionEntropy(x_z,'hist','auto',0.1)"
560,EN_DistributionEntropy_hist_auto_02,"EN_DistributionEntropy(x_z,'hist','auto',0.2)"
561,EN_DistributionEntropy_hist_auto_03,"EN_DistributionEntropy(x_z,'hist','auto',0.3)"
562,SB_BinaryStretch_lseq1,"SB_BinaryStretch(x_z,'lseq1')"
563,SB_BinaryStretch_lseq0,"SB_BinaryStretch(x_z,'lseq0')"
564,ApEn1_01,"EN_ApEn(x_z,1,0.1)"
565,ApEn1_02,"EN_ApEn(x_z,1,0.2)"
566,ApEn2_01,"EN_ApEn(x_z,2,0.1)"
567,ApEn2_02,"EN_ApEn(x_z,2,0.2)"
568,EN_PermEn_2_1,"EN_PermEn(x_z,2,1)"
569,EN_PermEn_3_1,"EN_PermEn(x_z,3,1)"
570,EN_PermEn_4_1,"EN_PermEn(x_z,4,1)"
571,EN_PermEn_5_1,"EN_PermEn(x_z,5,1)"
572,EN_PermEn_2_2,"EN_PermEn(x_z,2,2)"
573,EN_PermEn_3_2,"EN_PermEn(x_z,3,2)"
574,EN_PermEn_4_2,"EN_PermEn(x_z,4,2)"
575,EN_PermEn_5_2,"EN_PermEn(x_z,5,2)"
576,EN_PermEn_2_ac,"EN_PermEn(x_z,2,'ac')"
577,EN_PermEn_3_ac,"EN_PermEn(x_z,3,'ac')"
578,EN_PermEn_4_ac,"EN_PermEn(x_z,4,'ac')"
579,EN_PermEn_5_ac,"EN_PermEn(x_z,5,'ac')"
580,DN_Fit_mle_geometric,"DN_Fit_mle(x_z,'geometric')"
581,DN_FitKernelSmoothraw,"DN_FitKernelSmooth(x,'numcross',[0.05,0.1,0.2,0.3,0.4,0.5],'area',[0.05,0.1,0.2,0.3,0.4,0.5],'arclength',[0.1,0.5,1,2])"
582,DN_FitKernelSmoothzscore,"DN_FitKernelSmooth(x_z)"
583,DK_timerev_1,"DK_timerev(x_z,1)"
584,DK_timerev_2,"DK_timerev(x_z,2)"
585,DK_timerev_3,"DK_timerev(x_z,3)"
586,DK_timerev_4,"DK_timerev(x_z,4)"
587,HT_HypothesisTest_signtest,"HT_HypothesisTest(x_z,'signtest')"
588,HT_HypothesisTest_runstest,"HT_HypothesisTest(x,'runstest')"
589,HT_HypothesisTest_lbqtest,"HT_HypothesisTest(x_z,'lbq')"
590,HT_HypothesisTest_lbqtestraw,"HT_HypothesisTest(x,'lbq')"
591,HT_HypothesisTest_ztest,"HT_HypothesisTest(x_z,'ztest')"
592,HT_HypothesisTest_signrank,"HT_HypothesisTest(x_z,'signrank')"
593,HT_HypothesisTest_jbtest,"HT_HypothesisTest(x,'jbtest')"
594,HT_DistributionTest_chi2norm5,"HT_DistributionTest(x,'chi2gof','norm',5)"
595,HT_DistributionTest_chi2norm10,"HT_DistributionTest(x,'chi2gof','norm',10)"
596,HT_DistributionTest_chi2norm25,"HT_DistributionTest(x,'chi2gof','norm',25)"
597,HT_DistributionTest_chi2norm50,"HT_DistributionTest(x,'chi2gof','norm',50)"
598,HT_DistributionTest_chi2norm100,"HT_DistributionTest(x,'chi2gof','norm',100)"
599,HT_DistributionTest_chi2ev5,"HT_DistributionTest(x,'chi2gof','ev',5)"
600,HT_DistributionTest_chi2ev10,"HT_DistributionTest(x,'chi2gof','ev',10)"
601,HT_DistributionTest_chi2ev25,"HT_DistributionTest(x,'chi2gof','ev',25)"
602,HT_DistributionTest_chi2ev50,"HT_DistributionTest(x,'chi2gof','ev',50)"
603,HT_DistributionTest_chi2ev100,"HT_DistributionTest(x,'chi2gof','ev',100)"
604,HT_DistributionTest_chi2uni5,"HT_DistributionTest(x,'chi2gof','uni',5)"
605,HT_DistributionTest_chi2uni10,"HT_DistributionTest(x,'chi2gof','uni',10)"
606,HT_DistributionTest_chi2uni25,"HT_DistributionTest(x,'chi2gof','uni',25)"
607,HT_DistributionTest_chi2uni50,"HT_DistributionTest(x,'chi2gof','uni',50)"
608,HT_DistributionTest_chi2uni100,"HT_DistributionTest(x,'chi2gof','uni',100)"
609,HT_DistributionTest_chi2beta5,"HT_DistributionTest(x,'chi2gof','beta',5)"
610,HT_DistributionTest_chi2beta10,"HT_DistributionTest(x,'chi2gof','beta',10)"
611,HT_DistributionTest_chi2beta25,"HT_DistributionTest(x,'chi2gof','beta',25)"
612,HT_DistributionTest_chi2beta50,"HT_DistributionTest(x,'chi2gof','beta',50)"
613,HT_DistributionTest_chi2beta100,"HT_DistributionTest(x,'chi2gof','beta',100)"
614,HT_DistributionTest_chi2rayl5,"HT_DistributionTest(x,'chi2gof','rayleigh',5)"
615,HT_DistributionTest_chi2rayl10,"HT_DistributionTest(x,'chi2gof','rayleigh',10)"
616,HT_DistributionTest_chi2rayl25,"HT_DistributionTest(x,'chi2gof','rayleigh',25)"
617,HT_DistributionTest_chi2rayl50,"HT_DistributionTest(x,'chi2gof','rayleigh',50)"
618,HT_DistributionTest_chi2rayl100,"HT_DistributionTest(x,'chi2gof','rayleigh',100)"
619,HT_DistributionTest_chi2exp5,"HT_DistributionTest(x,'chi2gof','exp',5)"
620,HT_DistributionTest_chi2exp10,"HT_DistributionTest(x,'chi2gof','exp',10)"
621,HT_DistributionTest_chi2exp25,"HT_DistributionTest(x,'chi2gof','exp',25)"
622,HT_DistributionTest_chi2exp50,"HT_DistributionTest(x,'chi2gof','exp',50)"
623,HT_DistributionTest_chi2exp100,"HT_DistributionTest(x,'chi2gof','exp',100)"
624,HT_DistributionTest_chi2gam5,"HT_DistributionTest(x,'chi2gof','gamma',5)"
625,HT_DistributionTest_chi2gam10,"HT_DistributionTest(x,'chi2gof','gamma',10)"
626,HT_DistributionTest_chi2gam25,"HT_DistributionTest(x,'chi2gof','gamma',25)"
627,HT_DistributionTest_chi2gam50,"HT_DistributionTest(x,'chi2gof','gamma',50)"
628,HT_DistributionTest_chi2gam100,"HT_DistributionTest(x,'chi2gof','gamma',100)"
629,HT_DistributionTest_chi2logn5,"HT_DistributionTest(x,'chi2gof','logn',5)"
630,HT_DistributionTest_chi2logn10,"HT_DistributionTest(x,'chi2gof','logn',10)"
631,HT_DistributionTest_chi2logn25,"HT_DistributionTest(x,'chi2gof','logn',25)"
632,HT_DistributionTest_chi2logn50,"HT_DistributionTest(x,'chi2gof','logn',50)"
633,HT_DistributionTest_chi2logn100,"HT_DistributionTest(x,'chi2gof','logn',100)"
634,HT_DistributionTest_chi2wbl5,"HT_DistributionTest(x,'chi2gof','wbl',5)"
635,HT_DistributionTest_chi2wbl10,"HT_DistributionTest(x,'chi2gof','wbl',10)"
636,HT_DistributionTest_chi2wbl25,"HT_DistributionTest(x,'chi2gof','wbl',25)"
637,HT_DistributionTest_chi2wbl50,"HT_DistributionTest(x,'chi2gof','wbl',50)"
638,HT_DistributionTest_chi2wbl100,"HT_DistributionTest(x,'chi2gof','wbl',100)"
639,HT_DistributionTest_ks_norm,"HT_DistributionTest(x,'ks','norm')"
640,HT_DistributionTest_ks_ev,"HT_DistributionTest(x,'ks','ev')"
641,HT_DistributionTest_ks_uni,"HT_DistributionTest(x,'ks','uni')"
642,HT_DistributionTest_ks_beta,"HT_DistributionTest(x,'ks','beta')"
643,HT_DistributionTest_ks_rayl,"HT_DistributionTest(x,'ks','rayleigh')"
644,HT_DistributionTest_ks_exp,"HT_DistributionTest(x,'ks','exp')"
645,HT_DistributionTest_ks_gam,"HT_DistributionTest(x,'ks','gamma')"
646,HT_DistributionTest_ks_logn,"HT_DistributionTest(x,'ks','logn')"
647,HT_DistributionTest_ks_wbl,"HT_DistributionTest(x,'ks','wbl')"
648,HT_DistributionTest_lillie_norm,"HT_DistributionTest(x,'lillie','norm')"
649,HT_DistributionTest_lillie_ev,"HT_DistributionTest(x,'lillie','ev')"
650,HT_DistributionTest_lillie_exp,"HT_DistributionTest(x,'lillie','exp')"
651,NL_TSTL_TakensEstimator_n1_005_005_1_8,"NL_TSTL_TakensEstimator(x_z,-1,0.05,0.05,{1,8})"
652,NL_TSTL_TakensEstimator_n1_005_005_1_3,"NL_TSTL_TakensEstimator(x_z,-1,0.05,0.05,{1,3})"
653,NL_TSTL_TakensEstimator_n1_005_005_ac_3,"NL_TSTL_TakensEstimator(x_z,-1,0.05,0.05,{'ac',3})"
